consumer name = Second Consumer, offset = 6298, key = null, value = 866hello, partition number = 1
consumer name = Second Consumer, offset = 6299, key = null, value = 868hello, partition number = 1
consumer name = Second Consumer, offset = 6300, key = null, value = 870hello, partition number = 1
consumer name = Second Consumer, offset = 6301, key = null, value = 872hello, partition number = 1
consumer name = Second Consumer, offset = 6302, key = null, value = 874hello, partition number = 1
consumer name = Second Consumer, offset = 6303, key = null, value = 876hello, partition number = 1
consumer name = Second Consumer, offset = 6304, key = null, value = 878hello, partition number = 1
consumer name = Second Consumer, offset = 6305, key = null, value = 880hello, partition number = 1
consumer name = Second Consumer, offset = 6306, key = null, value = 882hello, partition number = 1
consumer name = Second Consumer, offset = 6307, key = null, value = 884hello, partition number = 1
consumer name = Second Consumer, offset = 6308, key = null, value = 886hello, partition number = 1
consumer name = Second Consumer, offset = 6309, key = null, value = 888hello, partition number = 1
consumer name = Second Consumer, offset = 6310, key = null, value = 890hello, partition number = 1
consumer name = Second Consumer, offset = 6311, key = null, value = 892hello, partition number = 1
consumer name = Second Consumer, offset = 6312, key = null, value = 894hello, partition number = 1
consumer name = Second Consumer, offset = 6313, key = null, value = 896hello, partition number = 1
consumer name = Second Consumer, offset = 6314, key = null, value = 898hello, partition number = 1
consumer name = Second Consumer, offset = 6315, key = null, value = 900hello, partition number = 1
consumer name = Second Consumer, offset = 6316, key = null, value = 902hello, partition number = 1
consumer name = Second Consumer, offset = 6317, key = null, value = 904hello, partition number = 1
consumer name = Second Consumer, offset = 6318, key = null, value = 906hello, partition number = 1
consumer name = Second Consumer, offset = 6319, key = null, value = 908hello, partition number = 1
consumer name = Second Consumer, offset = 6320, key = null, value = 910hello, partition number = 1
consumer name = Second Consumer, offset = 6321, key = null, value = 912hello, partition number = 1
consumer name = Second Consumer, offset = 6322, key = null, value = 914hello, partition number = 1
consumer name = Second Consumer, offset = 6323, key = null, value = 916hello, partition number = 1
consumer name = Second Consumer, offset = 6324, key = null, value = 918hello, partition number = 1
consumer name = Second Consumer, offset = 6325, key = null, value = 920hello, partition number = 1
consumer name = Second Consumer, offset = 6326, key = null, value = 922hello, partition number = 1
consumer name = Second Consumer, offset = 6327, key = null, value = 924hello, partition number = 1
consumer name = Second Consumer, offset = 6328, key = null, value = 926hello, partition number = 1
consumer name = Second Consumer, offset = 6329, key = null, value = 928hello, partition number = 1
consumer name = Second Consumer, offset = 6330, key = null, value = 930hello, partition number = 1
consumer name = Second Consumer, offset = 6331, key = null, value = 932hello, partition number = 1
consumer name = Second Consumer, offset = 6332, key = null, value = 934hello, partition number = 1
consumer name = Second Consumer, offset = 6333, key = null, value = 936hello, partition number = 1
consumer name = Second Consumer, offset = 6334, key = null, value = 938hello, partition number = 1
consumer name = Second Consumer, offset = 6335, key = null, value = 940hello, partition number = 1
consumer name = Second Consumer, offset = 6336, key = null, value = 942hello, partition number = 1
consumer name = Second Consumer, offset = 6337, key = null, value = 944hello, partition number = 1
consumer name = Second Consumer, offset = 6338, key = null, value = 946hello, partition number = 1
consumer name = Second Consumer, offset = 6339, key = null, value = 948hello, partition number = 1
consumer name = Second Consumer, offset = 6340, key = null, value = 950hello, partition number = 1
consumer name = Second Consumer, offset = 6341, key = null, value = 952hello, partition number = 1
consumer name = Second Consumer, offset = 6342, key = null, value = 954hello, partition number = 1
consumer name = Second Consumer, offset = 6343, key = null, value = 956hello, partition number = 1
consumer name = Second Consumer, offset = 6344, key = null, value = 958hello, partition number = 1
consumer name = Second Consumer, offset = 6345, key = null, value = 960hello, partition number = 1
consumer name = Second Consumer, offset = 6346, key = null, value = 962hello, partition number = 1
consumer name = Second Consumer, offset = 6347, key = null, value = 964hello, partition number = 1
consumer name = Second Consumer, offset = 6348, key = null, value = 966hello, partition number = 1
consumer name = Second Consumer, offset = 6349, key = null, value = 968hello, partition number = 1
consumer name = Second Consumer, offset = 6350, key = null, value = 970hello, partition number = 1
consumer name = Second Consumer, offset = 6351, key = null, value = 972hello, partition number = 1
